t-bills,issue_date,maturity_date,average
28 Days,4/3/2079,2079/04/31,9.38%
91 Days,4/3/2079,7/1/2079,9.33%
28 Days,4/10/2079,5/7/2079,11.34%
91 Days,4/10/2079,7/8/2079,12.00%
91 Days,4/17/2079,7/15/2079,11.69%
182 Days,4/17/2079,10/17/2079,11.00%
91 Days,4/24/2079,7/22/2079,10.48%
28 Days,2079/04/31,5/28/2079,9.00%
91 Days,2079/04/31,7/29/2079,9.50%
182 Days,2079/04/31,11/2/2079,9.90%
28 Days,5/7/2079,6/4/2079,8.71%
91 Days,5/7/2079,8/6/2079,9.09%
182 Days,5/7/2079,11/9/2079,9.03%
364 Days,5/7/2079,5/5/2080,9.02%
91 Days,5/13/2079,8/13/2079,9.09%
91 Days,5/21/2079,8/20/2079,9.06%
364 Days,5/21/2079,5/19/2080,9.03%
28-Days,5/28/2079,6/25/2079,8.79%
91-Days,5/28/2079,8/27/2079,9.11%
28 Days,6/4/2079,7/1/2079,8.93%
91 Days,6/4/2079,9/5/2079,9.87%
182 Days,6/4/2079,12/7/2079,9.69%
91 Days,6/11/2079,9/12/2079,9.58%
182 Days,6/11/2079,12/14/2079,9.74%
91 Days,6/23/2079,9/19/2079,10.60%
182 Days,6/23/2079,12/21/2079,10.86%
28 Days,6/25/2079,7/22/2079,9.55%
91 Days,6/25/2079,9/26/2079,10.14%
182 Days,6/25/2079,12/28/2079,10.07%
364 Days,6/25/2079,6/23/2080,10.06%
28 Days,7/1/2079,7/29/2079,8.62%
91 Days,7/1/2079,10/3/2079,10.72%
182 Days,7/1/2079,1/5/2080,10.85%
364 Days,7/1/2079,6/30/2080,10.77%
91 Days,7/14/2079,10/10/2079,10.72%
364 Days,7/14/2079,7/7/2080,10.77%
91 Days,7/15/2079,10/17/2079,11.20%
182 Days,7/15/2079,1/19/2080,11.64%
364 Days,7/15/2079,7/14/2080,10.98%
28 Days,7/22/2079,8/20/2079,9.19%
91 Days,7/22/2079,10/24/2079,11.01%
182 Days,7/22/2079,1/26/2080,11.84%
28 Days,7/29/2079,8/27/2079,8.52%
91 Days,7/29/2079,11/2/2079,10.33%
182 Days,7/29/2079,2/2/2080,11.92%
91 Days,8/6/2079,11/9/2079,10.90%
182 Days,8/6/2079,2/9/2080,11.94%
91 Days,8/13/2079,11/16/2079,10.80%
182 Days,8/13/2079,2/16/2080,11.38%
364 Days,8/13/2079,8/12/2080,11.50%
28 Days,8/20/2079,9/19/2079,9.53%
91 Days,8/20/2079,11/23/2079,10.83%
182 Days,8/20/2079,2/23/2080,11.75%
28 Days,8/27/2079,9/26/2079,9.25%
91 Days,8/27/2079,11/30/2079,10.44%
