date,nabil
5/28/2023,601
5/24/2023,606
5/23/2023,605.5
5/22/2023,599
5/21/2023,595.1
5/18/2023,590
5/17/2023,590
5/16/2023,584
5/15/2023,583.8
5/14/2023,584.9
5/11/2023,590
5/10/2023,590
5/9/2023,595
5/8/2023,593
5/7/2023,595
5/4/2023,598.9
5/3/2023,598.5
5/2/2023,599.5
4/30/2023,597
4/27/2023,600
4/26/2023,604
4/25/2023,605.5
4/24/2023,605
4/23/2023,609
4/20/2023,620
4/19/2023,620
4/18/2023,616
4/17/2023,616
4/16/2023,617
4/13/2023,618.9
4/12/2023,629
4/11/2023,592
4/10/2023,582.1
4/9/2023,580
4/6/2023,592.2
4/5/2023,590
4/4/2023,589
4/3/2023,589.9
4/2/2023,597.8
3/30/2023,603
3/29/2023,609
3/28/2023,606.5
3/27/2023,604
3/26/2023,596
3/23/2023,605
3/22/2023,613
3/20/2023,613
3/19/2023,606
3/16/2023,613
3/15/2023,618
3/14/2023,625
3/13/2023,629.9
3/12/2023,636.9
3/9/2023,647
3/7/2023,639
3/5/2023,637.3
3/2/2023,649.1
3/1/2023,655
2/28/2023,657
2/27/2023,661
2/26/2023,663.5
2/23/2023,669
2/22/2023,678.9
2/20/2023,662.5
2/16/2023,670.2
2/15/2023,674.5
2/15/2023,674.5
2/14/2023,675
2/12/2023,683
2/9/2023,693
2/8/2023,688
2/7/2023,691.9
2/6/2023,677.3
2/5/2023,681
2/2/2023,688
2/1/2023,690
1/31/2023,690.4
1/30/2023,698
1/29/2023,702.5
1/26/2023,705.6
1/25/2023,709.1
1/24/2023,713
1/23/2023,710.9
1/19/2023,703.5
1/18/2023,703.9
1/17/2023,711
1/12/2023,714
1/10/2023,719.2
1/9/2023,719
1/8/2023,719.1
1/5/2023,727
1/4/2023,736.9
1/3/2023,736
1/2/2023,739
1/1/2023,854.5
12/29/2022,843
12/28/2022,834.9
12/27/2022,842
12/26/2022,838
12/22/2022,810
12/21/2022,807
12/20/2022,800
12/19/2022,797
12/18/2022,794
12/15/2022,804
12/14/2022,808
12/13/2022,807.1
12/12/2022,815
12/11/2022,846
12/7/2022,881
12/6/2022,888
12/5/2022,883
12/4/2022,882
12/1/2022,913
11/30/2022,882
11/29/2022,877
11/28/2022,874
11/27/2022,876
11/24/2022,831
11/23/2022,824.6
11/22/2022,829
11/17/2022,827.3
11/16/2022,819.5
11/15/2022,817.9
11/14/2022,814
11/13/2022,811
11/10/2022,815
11/9/2022,823.5
11/8/2022,833
11/7/2022,834
11/6/2022,831.1
11/3/2022,824
11/2/2022,830
11/1/2022,835
10/31/2022,816
10/23/2022,808
10/20/2022,796.5
10/19/2022,798.5
10/17/2022,794
10/16/2022,794
10/13/2022,796
10/12/2022,794
10/11/2022,792
10/10/2022,797
10/9/2022,807
9/29/2022,780
9/28/2022,767
9/27/2022,770
9/25/2022,752.9
9/22/2022,759
9/21/2022,762.1
9/20/2022,749.5
9/18/2022,764
9/16/2022,772
9/15/2022,781
9/14/2022,799
9/13/2022,770
9/12/2022,755
9/11/2022,759
9/8/2022,760
9/7/2022,763.2
9/6/2022,768
9/5/2022,776.1
9/4/2022,779.9
9/2/2022,784.9
9/1/2022,784
8/31/2022,786
8/30/2022,789.5
8/29/2022,790
8/28/2022,793.5
8/26/2022,795.9
8/25/2022,800
8/24/2022,802
8/23/2022,801.9
8/22/2022,799
8/21/2022,801
8/18/2022,802
8/17/2022,794.5
8/16/2022,799
8/15/2022,799.4
8/14/2022,789
8/11/2022,793
8/10/2022,790
8/9/2022,788.1
8/8/2022,803
8/7/2022,817
8/5/2022,819.7
8/4/2022,850
8/3/2022,862
8/2/2022,877
8/1/2022,881.9
7/31/2022,881
7/29/2022,869.9
7/28/2022,866
7/27/2022,866
7/26/2022,866
7/25/2022,885
7/24/2022,860
7/22/2022,839.9
7/21/2022,855
7/20/2022,845
7/19/2022,838
7/18/2022,832
7/17/2022,830
7/15/2022,824
7/14/2022,817
7/13/2022,811
7/12/2022,796.9
7/11/2022,792
7/8/2022,826
7/7/2022,845
7/6/2022,864
7/5/2022,872
7/4/2022,895
7/3/2022,889
7/1/2022,856
6/30/2022,835
6/29/2022,795
6/28/2022,778
6/27/2022,780
6/26/2022,775
6/24/2022,740
6/23/2022,749
6/22/2022,782
6/21/2022,792
6/20/2022,794.9
6/19/2022,816
6/17/2022,817
6/16/2022,825
6/15/2022,825
6/14/2022,838.5
6/13/2022,846
